class,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
responder,0.9854,0.9106,0.7558,0.543,0.3398,0.1842,0.0854,0.03682591221575886,0.0136,0.0046,0.001577787606501071,2.916186964946029e-4,7.29014630706857e-5,2.956989247311828e-5,6.451612903225806e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nonresponder,1,1,1,1,1,1,1,1,1,1,0.9994,0.9968,0.9898,0.9762,0.9518,0.91,0.8454,0.7637516129032258,0.6578,0.5326032258064517,0.4118,0.2924,0.202,0.1306322580645162,0.07603225806451613,0.0406,0.02124582055349903,0.00992839767318879,0.004464871066335632,0.001941972800041242,6.138057466499238e-4,1.320107165643112e-4,2.258064516129032e-5,6.451612903225806e-6,3.225806451612903e-6,0,0,0,0,0,0,0,0
total,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9998,0.9984,0.9942,0.9862,0.9694,0.9412,0.8936,0.8284,0.7382,0.6284,0.5102322580645161,0.3865,0.2774,0.1845935483870968,0.1128322580645161,0.063,0.03395483870967742,0.0164,0.007738709677419356,0.003094959591523332,0.001190416747845288,3.210719241390844e-4,5.956989247311828e-5,1.290322580645161e-5,0,0,0,0,0,0
