,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
1510,USP35_code_potential_somatic,hsa-mir-186,R-1510,1.0,1.984742472341114,-0.22320904035406,2.078538619395735e-07,-3.46964362938278,1.3942216100657516,1.0,0.1,10,1
1459,TPTE_code_potential_somatic,hsa-mir-139,R-1459,-1.0,3.4128908346459363,-0.3187751762002789,5.5428324983449195e-14,2.8249167246514584,1.356198876811208,1.0,0.0344827586206896,58,2
1820,TPTE_code_potential_somatic,hsa-mir-139,R-1820,-1.0,3.4128908346459363,-0.3204059107608996,4.0596542057475885e-14,3.4697633915792694,1.6531822073468918,1.0,0.0344827586206896,58,2
1459,TPTE_code_potential_somatic,hsa-mir-218,R-1459,-1.0,1.6500212375792345,-0.2407256029109234,2.0050835737623428e-08,2.8249167246514584,1.356198876811208,1.0,0.1428571428571428,14,2
1820,TPTE_code_potential_somatic,hsa-mir-218,R-1820,-1.0,1.6500212375792345,-0.2446780878133395,1.1527058357223892e-08,3.4697633915792694,1.6531822073468918,1.0,0.1428571428571428,14,2
1459,TPTE_code_potential_somatic,hsa-mir-30d,R-1459,-1.0,1.5382186060469378,-0.2299397749019707,8.650615453189546e-08,2.8249167246514584,1.356198876811208,1.0,0.0689655172413793,29,2
1820,TPTE_code_potential_somatic,hsa-mir-30d,R-1820,-1.0,1.5382186060469378,-0.2110147426252113,9.49844806482579e-07,3.4697633915792694,1.6531822073468918,1.0,0.0689655172413793,29,2
3072,TPTE_code_potential_somatic,hsa-mir-490,R-3072,-1.0,2.495591885824564,-0.2097984322169917,1.0999824967332496e-06,2.6927116420529824,1.3110016003973657,1.0,0.0857142857142857,35,3
1459,TPTE_code_potential_somatic,hsa-mir-490,R-1459,-1.0,2.495591885824564,-0.2138181406369992,6.750300419806684e-07,2.8249167246514584,1.356198876811208,1.0,0.0857142857142857,35,3
1820,TPTE_code_potential_somatic,hsa-mir-490,R-1820,-1.0,2.495591885824564,-0.2187310190791063,3.668844431864647e-07,3.4697633915792694,1.6531822073468918,1.0,0.0857142857142857,35,3
3072,TPTE_code_potential_somatic,hsa-mir-129,R-3072,-1.0,2.843733309382052,-0.3343283864804157,2.630079498698564e-15,2.6927116420529824,1.3110016003973657,1.0,0.0193548387096774,155,3
1459,TPTE_code_potential_somatic,hsa-mir-129,R-1459,-1.0,2.843733309382052,-0.3434295157589376,4.070624198782062e-16,2.8249167246514584,1.356198876811208,1.0,0.0193548387096774,155,3
1820,TPTE_code_potential_somatic,hsa-mir-129,R-1820,-1.0,2.843733309382052,-0.3487924854747026,1.3169261057702456e-16,3.4697633915792694,1.6531822073468918,1.0,0.0193548387096774,155,3
3072,TPTE_code_potential_somatic,hsa-mir-219,R-3072,-1.0,2.0536721975697896,-0.2546228363385709,2.742702169078984e-09,2.6927116420529824,1.3110016003973657,1.0,0.0975609756097561,41,4
1459,TPTE_code_potential_somatic,hsa-mir-219,R-1459,-1.0,2.0536721975697896,-0.2261456139694034,1.4226871717272404e-07,2.8249167246514584,1.356198876811208,1.0,0.0975609756097561,41,4
1820,TPTE_code_potential_somatic,hsa-mir-219,R-1820,-1.0,2.0536721975697896,-0.2154281370665072,5.536427716603219e-07,3.4697633915792694,1.6531822073468918,1.0,0.0975609756097561,41,4
3012,TPTE_code_potential_somatic,hsa-mir-219,R-3012,-1.0,2.0536721975697896,-0.2712334948215932,2.1683496783670823e-10,2.859956691009005,1.425638961610994,1.0,0.0975609756097561,41,4
1459,TPTE_code_potential_somatic,hsa-mir-137,R-1459,-1.0,1.551377082888188,-0.2399235602494517,2.240822737338568e-08,2.8249167246514584,1.356198876811208,1.0,0.4,5,2
1820,TPTE_code_potential_somatic,hsa-mir-137,R-1820,-1.0,1.551377082888188,-0.2603700287970966,1.1628555812672432e-09,3.4697633915792694,1.6531822073468918,1.0,0.4,5,2
3072,TPTE_code_potential_somatic,hsa-mir-338,R-3072,-1.0,1.7954991668896567,-0.2066686696695589,1.5982901276733292e-06,2.6927116420529824,1.3110016003973657,1.0,0.0379746835443038,79,3
1459,TPTE_code_potential_somatic,hsa-mir-338,R-1459,-1.0,1.7954991668896567,-0.2666829083198977,4.4225634052034444e-10,2.8249167246514584,1.356198876811208,1.0,0.0379746835443038,79,3
1820,TPTE_code_potential_somatic,hsa-mir-338,R-1820,-1.0,1.7954991668896567,-0.2528896742379773,3.5381930853344363e-09,3.4697633915792694,1.6531822073468918,1.0,0.0379746835443038,79,3
2053,ZNF292_code_potential_somatic,hsa-mir-125b,R-2053,1.0,1.41222407624205,-0.255617949565838,2.3675752288239893e-09,-6.0843669447711966,1.7376200718174413,1.0,0.8,10,8
158,ZNF292_code_potential_somatic,hsa-mir-125b,R-158,1.0,1.41222407624205,-0.2090212509740458,1.207569903632179e-06,-10.494361525229625,3.627260691325787,1.0,0.8,10,8
246,ZNF292_code_potential_somatic,hsa-mir-125b,R-246,1.0,1.41222407624205,-0.2158063124414489,5.283365889753156e-07,-6.819172402247666,2.094787990133236,1.0,0.8,10,8
257,ZNF292_code_potential_somatic,hsa-mir-125b,R-257,1.0,1.41222407624205,-0.2061372492241386,1.7020100818182084e-06,-9.818676424328356,3.246311683806268,1.0,0.8,10,8
290,ZNF292_code_potential_somatic,hsa-mir-125b,R-290,1.0,1.41222407624205,-0.2182070947813311,3.917987446799618e-07,-10.8368290982551,4.758639291496612,1.0,0.8,10,8
356,ZNF292_code_potential_somatic,hsa-mir-125b,R-356,1.0,1.41222407624205,-0.220843562451474,2.810340000313649e-07,-11.74736186620545,7.09029661692816,1.0,0.8,10,8
646,ZNF292_code_potential_somatic,hsa-mir-125b,R-646,1.0,1.41222407624205,-0.2163440199784425,4.942618735843254e-07,-4.445512739080548,1.3773305951955457,1.0,0.8,10,8
3143,ZNF292_code_potential_somatic,hsa-mir-125b,R-3143,1.0,1.41222407624205,-0.2771490619034694,8.414088236381836e-11,-7.65403206919577,2.879329968554313,1.0,0.8,10,8
158,SKAP2_code_potential_somatic,hsa-mir-328,R-158,-1.0,1.355101387650022,-0.2522105877443226,3.907459057454096e-09,4.633038548080715,1.7568411013512757,1.0,0.2592592592592592,27,7
246,SKAP2_code_potential_somatic,hsa-mir-328,R-246,-1.0,1.355101387650022,-0.2603100543692365,1.173441719652303e-09,5.15323507799028,1.7136597062176195,1.0,0.2592592592592592,27,7
257,SKAP2_code_potential_somatic,hsa-mir-328,R-257,-1.0,1.355101387650022,-0.2502490151734522,5.196647858591395e-09,5.017107920794041,1.942327430413269,1.0,0.2592592592592592,27,7
290,SKAP2_code_potential_somatic,hsa-mir-328,R-290,-1.0,1.355101387650022,-0.2595830892551388,1.3094492790694023e-09,5.964406728225024,2.198477052333097,1.0,0.2592592592592592,27,7
356,SKAP2_code_potential_somatic,hsa-mir-328,R-356,-1.0,1.355101387650022,-0.2660809596036231,4.854965861551684e-10,4.87063492312556,1.7558918818553146,1.0,0.2592592592592592,27,7
2441,SKAP2_code_potential_somatic,hsa-mir-328,R-2441,-1.0,1.355101387650022,-0.2241173638789259,1.8495643247666682e-07,4.053906332572121,1.3170490852574377,1.0,0.2592592592592592,27,7
1890,SKAP2_code_potential_somatic,hsa-mir-328,R-1890,-1.0,1.355101387650022,-0.2198115927923331,3.202256888806109e-07,4.127062983810478,1.3188047117286763,1.0,0.2592592592592592,27,7
2431,SKAP2_code_potential_somatic,hsa-mir-105,R-2431,-1.0,1.3302544094138171,-0.2172159106136786,4.434567531145734e-07,4.171923763104475,1.4462070113852707,1.0,0.375,8,3
2830,SKAP2_code_potential_somatic,hsa-mir-105,R-2830,-1.0,1.3302544094138171,-0.2213919902856375,2.62129428535206e-07,3.9736828525722903,1.3932721541885635,1.0,0.375,8,3
3180,SKAP2_code_potential_somatic,hsa-mir-105,R-3180,-1.0,1.3302544094138171,-0.21371996528397,6.832057489390515e-07,8.680418792867263,3.814637187822681,1.0,0.375,8,3
86,SKAP2_code_potential_somatic,hsa-mir-641,R-86,-1.0,1.705696976604134,-0.2140769592401002,6.539246221081369e-07,5.388589348776912,1.8915015415203835,1.0,0.75,8,6
192,SKAP2_code_potential_somatic,hsa-mir-641,R-192,-1.0,1.705696976604134,-0.2155509597990871,5.452987769990891e-07,5.815380695661797,2.09304321042074,1.0,0.75,8,6
232,SKAP2_code_potential_somatic,hsa-mir-641,R-232,-1.0,1.705696976604134,-0.2062920084013276,1.6711573573119442e-06,4.1508437771854165,1.498406263040002,1.0,0.75,8,6
275,SKAP2_code_potential_somatic,hsa-mir-641,R-275,-1.0,1.705696976604134,-0.2096422221725165,1.1208403031149776e-06,7.481894570786388,3.804943323338098,1.0,0.75,8,6
350,SKAP2_code_potential_somatic,hsa-mir-641,R-350,-1.0,1.705696976604134,-0.2143244933198645,6.343336278468543e-07,5.214890365539,1.782182385490655,1.0,0.75,8,6
998,SKAP2_code_potential_somatic,hsa-mir-641,R-998,-1.0,1.705696976604134,-0.2613466990451882,1.0029820590549766e-09,4.368079009119148,1.3797849663402777,1.0,0.75,8,6
274,GRM1_code_potential_somatic,hsa-mir-138,R-274,-1.0,3.97958856461356,-0.2664131058281206,4.611526607749296e-10,3.9264729802562326,2.226102050716092,1.0,0.3076923076923077,13,4
411,GRM1_code_potential_somatic,hsa-mir-138,R-411,-1.0,3.97958856461356,-0.2603665289860886,1.1634707767792138e-09,2.879617263875156,1.5539428604494177,1.0,0.3076923076923077,13,4
2605,GRM1_code_potential_somatic,hsa-mir-138,R-2605,-1.0,3.97958856461356,-0.2664131058281206,4.611526607749296e-10,3.9264729802562326,2.226102050716092,1.0,0.3076923076923077,13,4
1847,GRM1_code_potential_somatic,hsa-mir-138,R-1847,-1.0,3.97958856461356,-0.2664131058281206,4.611526607749296e-10,3.9264729802562326,2.226102050716092,1.0,0.3076923076923077,13,4
1428,IRAK3_code_potential_somatic,hsa-mir-204,R-1428,-1.0,1.726028357997067,-0.3125371658798734,1.7927090110609824e-13,5.144786592411992,1.5582991309149243,1.0,0.5,2,1
1428,IRAK3_code_potential_somatic,hsa-mir-628,R-1428,-1.0,2.0208141363771235,-0.210699582009165,9.867400988637504e-07,5.144786592411992,1.5582991309149243,1.0,1.0,1,1
1428,IRAK3_code_potential_somatic,hsa-mir-31,R-1428,-1.0,2.275939086221864,-0.2114881283791858,8.969042909034815e-07,5.144786592411992,1.5582991309149243,1.0,1.0,1,1
411,TEX15_code_potential_somatic,hsa-mir-10b,R-411,1.0,1.933904760413192,-0.2224236375298259,2.2983418633425961e-07,-2.344152586065639,1.3494319982645266,1.0,0.1428571428571428,14,2
2053,TEX15_code_potential_somatic,hsa-mir-10b,R-2053,1.0,1.933904760413192,-0.2485032188095271,6.684245155733693e-09,-2.5930514608302957,1.5979645051448412,1.0,0.1428571428571428,14,2
597,TLR2_code_potential_somatic,hsa-mir-500,R-597,-1.0,1.5244887468933763,-0.2523104557758523,3.850898146708299e-09,7.949284865988323,4.535104874432636,1.0,0.5,2,1
2945,RNF168_code_potential_somatic,hsa-mir-328,R-2945,-1.0,1.7726755314047429,-0.2022378821851432,2.686267820403827e-06,4.963332002317426,2.299666849987713,1.0,0.037037037037037,27,1
2224,RNF168_code_potential_somatic,hsa-mir-30d,R-2224,-1.0,1.7825327641392852,-0.2276955250215162,1.1622587883992913e-07,3.616462132386586,1.5013369440052518,1.0,0.1379310344827586,29,4
2446,RNF168_code_potential_somatic,hsa-mir-30d,R-2446,-1.0,1.7825327641392852,-0.2079567980084428,1.371418784528204e-06,3.458347926385237,1.4550583708630598,1.0,0.1379310344827586,29,4
1459,RNF168_code_potential_somatic,hsa-mir-30d,R-1459,-1.0,1.7825327641392852,-0.2299397749019707,8.650615453189546e-08,3.839375978709165,1.576105937746337,1.0,0.1379310344827586,29,4
1820,RNF168_code_potential_somatic,hsa-mir-30d,R-1820,-1.0,1.7825327641392852,-0.2110147426252113,9.49844806482579e-07,3.2280111814571346,1.3598128904940276,1.0,0.1379310344827586,29,4
371,SLC17A6_code_potential_somatic,hsa-mir-17-3p,R-371,-1.0,2.783289954269017,-0.2438649573031923,1.292766802463002e-08,4.327755156461281,2.1548175729736623,1.0,0.0769230769230769,52,4
2500,SLC17A6_code_potential_somatic,hsa-mir-17-3p,R-2500,-1.0,2.783289954269017,-0.2321273603545274,6.467820715642319e-08,3.968953292715609,1.7922308218334346,1.0,0.0769230769230769,52,4
2585,SLC17A6_code_potential_somatic,hsa-mir-17-3p,R-2585,-1.0,2.783289954269017,-0.2528683948511138,3.5492320384016887e-09,4.444577262207751,1.6134760160519477,1.0,0.0769230769230769,52,4
1679,SLC17A6_code_potential_somatic,hsa-mir-17-3p,R-1679,-1.0,2.783289954269017,-0.2594109196705161,1.3438383216020151e-09,3.72759571939512,1.414835481199232,1.0,0.0769230769230769,52,4
158,SDPR_code_potential_somatic,hsa-mir-328,R-158,-1.0,3.2746794198607767,-0.2522105877443226,3.907459057454096e-09,5.6294478127181184,2.5079359774333074,1.0,0.1111111111111111,27,3
257,SDPR_code_potential_somatic,hsa-mir-328,R-257,-1.0,3.2746794198607767,-0.2502490151734522,5.196647858591395e-09,5.373427671801019,2.222227006241305,1.0,0.1111111111111111,27,3
356,SDPR_code_potential_somatic,hsa-mir-328,R-356,-1.0,3.2746794198607767,-0.2660809596036231,4.854965861551684e-10,3.736535832872559,1.5038339994762815,1.0,0.1111111111111111,27,3
192,SDPR_code_potential_somatic,hsa-mir-30b,R-192,-1.0,2.947450694662292,-0.2048174880453067,1.988237966011988e-06,3.7549887959406503,1.5104551814209757,1.0,0.3333333333333333,9,3
232,SDPR_code_potential_somatic,hsa-mir-30b,R-232,-1.0,2.947450694662292,-0.2049028474056951,1.9684096706643087e-06,3.686266927105668,1.5372308601033298,1.0,0.3333333333333333,9,3
275,SDPR_code_potential_somatic,hsa-mir-30b,R-275,-1.0,2.947450694662292,-0.2031661189273118,2.411672116074431e-06,4.256139402857342,1.940914980684617,1.0,0.3333333333333333,9,3
2836,MYO7B_code_potential_somatic,hsa-mir-454-3p,R-2836,-1.0,1.9457703035080804,-0.327548403048514,1.0147982733832176e-14,7.228518875660302,9.514064711074878,1.0,0.064516129032258,31,2
1613,MYO7B_code_potential_somatic,hsa-mir-454-3p,R-1613,-1.0,1.9457703035080804,-0.3530739142323834,5.2661022695589146e-17,6.469279565093519,3.2226473402080864,1.0,0.064516129032258,31,2
2836,MYO7B_code_potential_somatic,hsa-mir-98,R-2836,-1.0,1.3711581366495322,-0.2565033816290781,2.0760659593682446e-09,7.228518875660302,9.514064711074878,1.0,0.25,8,2
1613,MYO7B_code_potential_somatic,hsa-mir-98,R-1613,-1.0,1.3711581366495322,-0.2597538079724754,1.2761952977735995e-09,6.469279565093519,3.2226473402080864,1.0,0.25,8,2
2481,MYO7B_code_potential_somatic,hsa-mir-301,R-2481,-1.0,11.12670097795906,-0.2272224616824942,1.236430267241152e-07,6.05162763492293,8.264765323934046,1.0,0.081081081081081,37,3
2836,MYO7B_code_potential_somatic,hsa-mir-301,R-2836,-1.0,11.12670097795906,-0.3363719330529532,1.7391936420217721e-15,7.228518875660302,9.514064711074878,1.0,0.081081081081081,37,3
1613,MYO7B_code_potential_somatic,hsa-mir-301,R-1613,-1.0,11.12670097795906,-0.3437932804290698,3.7732526018595594e-16,6.469279565093519,3.2226473402080864,1.0,0.081081081081081,37,3
171,MTOR_code_potential_somatic,hsa-mir-149,R-171,-1.0,1.342733846740956,-0.2125517795905246,7.880890464827174e-07,3.390736534426904,1.496148154159744,1.0,0.0784313725490196,51,4
189,MTOR_code_potential_somatic,hsa-mir-149,R-189,-1.0,1.342733846740956,-0.2014561911923931,2.940485919141357e-06,3.3816254816435927,1.4504251407499515,1.0,0.0784313725490196,51,4
411,MTOR_code_potential_somatic,hsa-mir-149,R-411,-1.0,1.342733846740956,-0.2008707259287662,3.145797443661144e-06,3.3812411766836568,1.464350665809451,1.0,0.0784313725490196,51,4
1091,MTOR_code_potential_somatic,hsa-mir-149,R-1091,-1.0,1.342733846740956,-0.2198668510853365,3.180000570841874e-07,5.145146104190937,2.203521929631799,1.0,0.0784313725490196,51,4
2196,MTOR_code_potential_somatic,hsa-mir-551b,R-2196,-1.0,2.929528707340556,-0.2132957478102483,7.19639936275046e-07,4.288605815535114,1.9103710595841736,1.0,0.3636363636363636,22,8
166,MTOR_code_potential_somatic,hsa-mir-551b,R-166,-1.0,2.929528707340556,-0.2239501111223285,1.88981378166648e-07,4.75361508682256,2.079036332304723,1.0,0.3636363636363636,22,8
218,MTOR_code_potential_somatic,hsa-mir-551b,R-218,-1.0,2.929528707340556,-0.2105118559030853,1.0093665030398296e-06,5.479707191875625,2.7017927463707982,1.0,0.3636363636363636,22,8
2459,MTOR_code_potential_somatic,hsa-mir-551b,R-2459,-1.0,2.929528707340556,-0.2027715595352308,2.5249388938940773e-06,4.834966753012379,2.199434812179632,1.0,0.3636363636363636,22,8
2760,MTOR_code_potential_somatic,hsa-mir-551b,R-2760,-1.0,2.929528707340556,-0.2222515485489413,2.349410031061704e-07,5.673638767803843,2.616225930052788,1.0,0.3636363636363636,22,8
2892,MTOR_code_potential_somatic,hsa-mir-551b,R-2892,-1.0,2.929528707340556,-0.2087247904252432,1.2512122300986555e-06,3.971108440386159,1.816543689531729,1.0,0.3636363636363636,22,8
3643,MTOR_code_potential_somatic,hsa-mir-551b,R-3643,-1.0,2.929528707340556,-0.2416340876432656,1.767027055180246e-08,2.848696327331945,1.3109638902142922,1.0,0.3636363636363636,22,8
2006,MTOR_code_potential_somatic,hsa-mir-551b,R-2006,-1.0,2.929528707340556,-0.2113289359964003,9.143830361970614e-07,4.541417739067332,2.045012459328216,1.0,0.3636363636363636,22,8
1956,MTOR_code_potential_somatic,hsa-mir-373,R-1956,-1.0,2.155808468056697,-0.2016690616052355,2.8690645878345373e-06,2.66369097706154,1.4036504146374065,1.0,1.0,1,1
3481,MTOR_code_potential_somatic,hsa-mir-106b,R-3481,-1.0,1.8121845440644064,-0.2214206046126698,2.611774677201554e-07,3.533018426196796,1.4977337588326698,1.0,0.0476190476190476,21,1
1956,MTOR_code_potential_somatic,hsa-mir-205,R-1956,-1.0,2.5625431144389528,-0.2196541736917862,3.266485547695967e-07,2.66369097706154,1.4036504146374065,1.0,0.3333333333333333,3,1
1956,MTOR_code_potential_somatic,hsa-mir-526b,R-1956,-1.0,1.9220359521421173,-0.2023937698146658,2.6381509819244877e-06,2.66369097706154,1.4036504146374065,1.0,1.0,1,1
2759,CACNA1B_code_potential_somatic,hsa-mir-326,R-2759,-1.0,1.520147613333752,-0.2067569307627995,1.5816613337142752e-06,3.442183701484859,1.636285699389591,1.0,0.125,16,2
1906,CACNA1B_code_potential_somatic,hsa-mir-326,R-1906,-1.0,1.520147613333752,-0.2099927678295972,1.074553582418512e-06,2.854814819229829,1.3920476954739682,1.0,0.125,16,2
1514,DENND4C_code_potential_somatic,hsa-mir-218,R-1514,-1.0,1.9643129372757744,-0.24757651763237,7.633980689089955e-09,4.905439116786603,2.1054464809591957,1.0,0.0588235294117647,17,1
1514,DENND4C_code_potential_somatic,hsa-mir-338,R-1514,-1.0,2.1289986407052868,-0.2114345268933364,9.027534062286144e-07,4.905439116786603,2.1054464809591957,0.5,0.0111111111111111,90,2
2053,MCM6_code_potential_somatic,hsa-mir-139,R-2053,-1.0,2.317187051858014,-0.3307880351566915,5.345622448824383e-15,5.037035869911712,1.6130801728548458,1.0,0.5862068965517241,58,34
117,MCM6_code_potential_somatic,hsa-mir-139,R-117,-1.0,2.317187051858014,-0.2308630147704943,7.654235841080158e-08,10.589303318261123,7.658045477425781,1.0,0.5862068965517241,58,34
152,MCM6_code_potential_somatic,hsa-mir-139,R-152,-1.0,2.317187051858014,-0.3553259092318466,3.23338938087154e-17,5.625082055891251,2.396557947294289,1.0,0.5862068965517241,58,34
171,MCM6_code_potential_somatic,hsa-mir-139,R-171,-1.0,2.317187051858014,-0.2484718689623391,6.714413507336529e-09,2.929093897898489,2.076773327851647,1.0,0.5862068965517241,58,34
2326,MCM6_code_potential_somatic,hsa-mir-139,R-2326,-1.0,2.317187051858014,-0.278132715226242,7.17267928729802e-11,7.986112233552191,3.537798351776778,1.0,0.5862068965517241,58,34
307,MCM6_code_potential_somatic,hsa-mir-139,R-307,-1.0,2.317187051858014,-0.2707068538911527,2.3564085516693783e-10,2.993815491640692,2.516538545483773,1.0,0.5862068965517241,58,34
2402,MCM6_code_potential_somatic,hsa-mir-139,R-2402,-1.0,2.317187051858014,-0.2978520171357909,2.552599588577588e-12,4.371301365035326,2.4238159473316427,1.0,0.5862068965517241,58,34
2412,MCM6_code_potential_somatic,hsa-mir-139,R-2412,-1.0,2.317187051858014,-0.2146058046904082,6.127540432425288e-07,14.133015269228682,15.702255168515071,1.0,0.5862068965517241,58,34
378,MCM6_code_potential_somatic,hsa-mir-139,R-378,-1.0,2.317187051858014,-0.2825355736041212,3.4832753031560434e-11,7.308363054077255,2.231892386461288,1.0,0.5862068965517241,58,34
397,MCM6_code_potential_somatic,hsa-mir-139,R-397,-1.0,2.317187051858014,-0.2346737580762177,4.5937542167138616e-08,6.4310777168559845,2.50231099657293,1.0,0.5862068965517241,58,34
2446,MCM6_code_potential_somatic,hsa-mir-139,R-2446,-1.0,2.317187051858014,-0.3104276917049624,2.649746348724036e-13,3.2088562926697435,1.673167686923159,1.0,0.5862068965517241,58,34
419,MCM6_code_potential_somatic,hsa-mir-139,R-419,-1.0,2.317187051858014,-0.2314104753708322,7.116758151685914e-08,7.823621074237716,3.324570264044399,1.0,0.5862068965517241,58,34
2477,MCM6_code_potential_somatic,hsa-mir-139,R-2477,-1.0,2.317187051858014,-0.2333095397810589,5.52060714453795e-08,5.186179710955586,1.7954557300944949,1.0,0.5862068965517241,58,34
2489,MCM6_code_potential_somatic,hsa-mir-139,R-2489,-1.0,2.317187051858014,-0.2707068538911527,2.3564085516693783e-10,2.993815491640688,2.516538545483768,1.0,0.5862068965517241,58,34
2585,MCM6_code_potential_somatic,hsa-mir-139,R-2585,-1.0,2.317187051858014,-0.2171532455831317,4.46934009581871e-07,6.838329077358063,2.4790446042129624,1.0,0.5862068965517241,58,34
572,MCM6_code_potential_somatic,hsa-mir-139,R-572,-1.0,2.317187051858014,-0.2327592983516999,5.9434956271765097e-08,3.956497726760914,1.3570117484815658,1.0,0.5862068965517241,58,34
646,MCM6_code_potential_somatic,hsa-mir-139,R-646,-1.0,2.317187051858014,-0.3344718678741887,2.555059245861221e-15,4.48177800238899,1.468049276829587,1.0,0.5862068965517241,58,34
737,MCM6_code_potential_somatic,hsa-mir-139,R-737,-1.0,2.317187051858014,-0.2075512444824473,1.4392877899463245e-06,10.726053135438825,7.809394630014931,1.0,0.5862068965517241,58,34
2837,MCM6_code_potential_somatic,hsa-mir-139,R-2837,-1.0,2.317187051858014,-0.3183858601373178,5.968943683555798e-14,4.944402719031386,5.752011286879295,1.0,0.5862068965517241,58,34
2885,MCM6_code_potential_somatic,hsa-mir-139,R-2885,-1.0,2.317187051858014,-0.207672029186453,1.4187449206251467e-06,9.101515107684545,4.869866422853827,1.0,0.5862068965517241,58,34
3010,MCM6_code_potential_somatic,hsa-mir-139,R-3010,-1.0,2.317187051858014,-0.2403170274050096,2.1220036538718813e-08,4.270680442974137,1.419050739550709,1.0,0.5862068965517241,58,34
3028,MCM6_code_potential_somatic,hsa-mir-139,R-3028,-1.0,2.317187051858014,-0.2707068538911527,2.3564085516693783e-10,2.993815491640688,2.516538545483768,1.0,0.5862068965517241,58,34
998,MCM6_code_potential_somatic,hsa-mir-139,R-998,-1.0,2.317187051858014,-0.2920389963310992,7.011665729690514e-12,12.275912887642288,6.3243999494099015,1.0,0.5862068965517241,58,34
1006,MCM6_code_potential_somatic,hsa-mir-139,R-1006,-1.0,2.317187051858014,-0.303663990091866,9.08269034056943e-13,6.06100681675107,2.7768204082658228,1.0,0.5862068965517241,58,34
3134,MCM6_code_potential_somatic,hsa-mir-139,R-3134,-1.0,2.317187051858014,-0.2104791350267602,1.0133609375846662e-06,6.3100377705201405,2.441317777545819,1.0,0.5862068965517241,58,34
1091,MCM6_code_potential_somatic,hsa-mir-139,R-1091,-1.0,2.317187051858014,-0.2765153205845488,9.3223570618472e-11,3.545185227058806,2.7211149176506138,1.0,0.5862068965517241,58,34
3348,MCM6_code_potential_somatic,hsa-mir-139,R-3348,-1.0,2.317187051858014,-0.2227123646076314,2.215054191036953e-07,8.244707242744276,3.591069620225748,1.0,0.5862068965517241,58,34
1312,MCM6_code_potential_somatic,hsa-mir-139,R-1312,-1.0,2.317187051858014,-0.3107004547602545,2.519639393162454e-13,3.6911769155923113,2.1073928333069625,1.0,0.5862068965517241,58,34
1457,MCM6_code_potential_somatic,hsa-mir-139,R-1457,-1.0,2.317187051858014,-0.2707068538911527,2.3564085516693783e-10,2.993815491640688,2.516538545483768,1.0,0.5862068965517241,58,34
1592,MCM6_code_potential_somatic,hsa-mir-139,R-1592,-1.0,2.317187051858014,-0.208767151896478,1.2448847765125203e-06,9.671173745735809,5.791564820026878,1.0,0.5862068965517241,58,34
3695,MCM6_code_potential_somatic,hsa-mir-139,R-3695,-1.0,2.317187051858014,-0.2707068538911527,2.3564085516693783e-10,2.993815491640688,2.516538545483768,1.0,0.5862068965517241,58,34
1829,MCM6_code_potential_somatic,hsa-mir-139,R-1829,-1.0,2.317187051858014,-0.216489796201303,4.853944592917569e-07,6.114702664113945,2.166242527820542,1.0,0.5862068965517241,58,34
2008,MCM6_code_potential_somatic,hsa-mir-139,R-2008,-1.0,2.317187051858014,-0.2538621231520762,3.0677860149244556e-09,7.377078205390292,3.2966673874968664,1.0,0.5862068965517241,58,34
2043,MCM6_code_potential_somatic,hsa-mir-139,R-2043,-1.0,2.317187051858014,-0.3144709767998458,1.249549586509329e-13,4.078927719575368,1.713158727757799,1.0,0.5862068965517241,58,34
2053,MCM6_code_potential_somatic,hsa-mir-129,R-2053,-1.0,1.8301694065513905,-0.3464464330730034,2.1633105637619003e-16,5.037035869911712,1.6130801728548458,1.0,0.4903225806451612,155,76
2104,MCM6_code_potential_somatic,hsa-mir-129,R-2104,-1.0,1.8301694065513905,-0.3006925271669862,1.544940679192993e-12,5.268572301816892,2.2615479623490558,1.0,0.4903225806451612,155,76
61,MCM6_code_potential_somatic,hsa-mir-129,R-61,-1.0,1.8301694065513905,-0.3446837905278114,3.132438578237293e-16,2.9181595006354044,1.4619854260032292,1.0,0.4903225806451612,155,76
2123,MCM6_code_potential_somatic,hsa-mir-129,R-2123,-1.0,1.8301694065513905,-0.2085690640031967,1.2747389957144352e-06,8.821667266543937,4.303650075659971,1.0,0.4903225806451612,155,76
2145,MCM6_code_potential_somatic,hsa-mir-129,R-2145,-1.0,1.8301694065513905,-0.3362585235934195,1.779718580617776e-15,5.31748259237061,2.5794086206423152,1.0,0.4903225806451612,155,76
113,MCM6_code_potential_somatic,hsa-mir-129,R-113,-1.0,1.8301694065513905,-0.2935511165733578,5.402873022022966e-12,8.006693865955196,9.425269360500394,1.0,0.4903225806451612,155,76
2161,MCM6_code_potential_somatic,hsa-mir-129,R-2161,-1.0,1.8301694065513905,-0.2166845707719964,4.7378502228222964e-07,8.034407712695092,3.2879688413586354,1.0,0.4903225806451612,155,76
117,MCM6_code_potential_somatic,hsa-mir-129,R-117,-1.0,1.8301694065513905,-0.2331656171052417,5.628322501892637e-08,10.589303318261123,7.658045477425781,1.0,0.4903225806451612,155,76
